"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SQL", "Markdown", "JavaScript", "Log", "HTML", "XML", "vue", "CSS", "comment", "blank", "total"
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/cli/CLIController.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/cli/CLIHandler.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/cli/CLIHandlerNode.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/database/Connection.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/database/PgPromiseAdapter.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/gateway/CatalogGatewayHttp.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/gateway/CurrencyGatewayHttp.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/gateway/FreightGatewayHttp.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/AxiosAdapter.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/ExpressApadter.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/HapiAdapter.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/HttpClient.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/HttpController.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/downtownit/development/branas.io/ccca10.1/backend/checkout/src/infra/http/HttpServer.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
